Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_clipped,tfall_clipped
4.183705,-1.5796112,-3.7209134,-10.765091,4.6108737,-22.490278,31.174194,1,6.0,1,6.0
-4.9898705,1.8276466,-19.94153,15.893395,-18.243135,-3.8605373,45.13878,1,6.0,1,6.0
-2.584345,7.357563,-21.392965,9.325199,10.357855,-2.759031,36.9776,1,6.0,1,6.0
0.93840945,1.8793921,-0.83808625,-21.627611,-1.5348723,-4.0704856,24.322447,1,6.0,1,6.0
6.6313696,-0.4986196,-9.240418,4.342392,11.644017,-7.8044515,26.059368,1,6.0,1,6.0
-5.479959,-4.256792,-6.9279366,3.2034068,0.9981138,-0.5870715,13.211707,1,6.0,1,6.0
-8.060156,-14.755304,-3.1886635,0.97389686,-0.18792745,-0.1684107,18.119,1,6.0,1,6.0
-6.9206476,13.369008,-12.538138,0.81503314,-10.338981,-1.2480364,30.037476,1,6.0,1,6.0
-2.0885134,4.811588,-1.448486,18.901793,-13.694729,-9.226706,30.540546,1,6.0,1,6.0
-8.9966545,-9.737902,-4.770268,-9.1557045,0.58782905,-10.71341,28.194733,1,6.0,1,6.0
-15.7292795,9.864265,-23.264639,-0.71952,-2.1192577,-2.4667125,33.095745,1,6.0,1,6.0
-0.19263992,0.012602166,-0.43463388,0.7892275,-0.5302671,-0.3306041,1.4822382,1,6.0,1,6.0
5.9272695,-0.16853176,-9.41869,0.75771046,13.063995,-8.917902,26.96556,1,6.0,1,6.0
-6.981752,-7.1964192,-0.23458365,-0.3127839,-5.4592094,-5.0631604,17.481647,1,6.0,1,6.0
